team;driver;circuit;location;country;tracklength_in_km;num_of_laps;racelenght_in_km;used_tyre_soft;used_tyre_medium;used_tyre_hard;used_tyre_rain;cost_tyre_soft;cost_tyre_medium;cost_tyre_hard;cost_tyre_rain;total_cost_tyre;final_placement;;
Red Bull Racing;Max Verstappen;Abu Dhabi Grand Prix;Abu Dhabi;UAE;5,281;58;306;2;1;0;0;2130;2310;2000;1950;6570;1;;
Red Bull Racing;Max Verstappen;Dutch Grand Prix;Zandvoort;Netherlands;4,259;72;307;0;0;1;2;2130;2310;2000;1950;5900;1;;
Red Bull Racing;Max Verstappen;Miami Grand Prix;Miami;USA;5,412;57;308;2;1;0;0;2130;2310;2000;1950;6570;1;;
Ferrari;Charles Leclerc;Abu Dhabi Grand Prix;Abu Dhabi;UAE;5,281;58;306;0;1;1;0;2130;2310;2000;1950;4310;3;;
Ferrari;Charles Leclerc;Dutch Grand Prix;Zandvoort;Netherlands;4,259;72;307;0;0;0;2;2130;2310;2000;1950;3900;4;;
Ferrari;Charles Leclerc;Miami Grand Prix;Miami;USA;5,412;57;308;1;0;1;0;2130;2310;2000;1950;4130;2;;
Mercedes;Lewis Hamilton;Abu Dhabi Grand Prix;Abu Dhabi;UAE;5,281;58;306;2;1;0;0;2130;2310;2000;1950;6570;5;;
Mercedes;Lewis Hamilton;Dutch Grand Prix;Zandvoort;Netherlands;4,259;72;307;0;0;1;1;2130;2310;2000;1950;3950;4;;
Mercedes;Lewis Hamilton;Miami Grand Prix;Miami;USA;5,412;57;308;1;1;1;0;2130;2310;2000;1950;6440;6;;
McLaren;Lando Norris;Abu Dhabi Grand Prix;Abu Dhabi;UAE;5,281;58;306;1;0;1;0;2130;2310;2000;1950;4130;8;;
McLaren;Lando Norris;Dutch Grand Prix;Zandvoort;Netherlands;4,259;72;307;0;0;1;1;2130;2310;2000;1950;3950;9;;
McLaren;Lando Norris;Miami Grand Prix;Miami;USA;5,412;57;308;1;2;0;0;2130;2310;2000;1950;6750;13;;
Haas;Nico Hulkenberg;Abu Dhabi Grand Prix;Abu Dhabi;UAE;5,281;58;306;0;1;1;0;2130;2310;2000;1950;4310;9;;
Haas;Nico Hulkenberg;Dutch Grand Prix;Zandvoort;Netherlands;4,259;72;307;0;0;0;2;2130;2310;2000;1950;3900;8;;
Haas;Nico Hulkenberg;Miami Grand Prix;Miami;USA;5,412;57;308;2;1;0;0;2130;2310;2000;1950;6570;12;;
Aston Martin;Fernando Alonso;Abu Dhabi Grand Prix;Abu Dhabi;UAE;5,281;58;306;1;0;1;0;2130;2310;2000;1950;4130;15;;
Aston Martin;Fernando Alonso;Dutch Grand Prix;Zandvoort;Netherlands;4,259;72;307;0;0;0;2;2130;2310;2000;1950;3900;16;;
Aston Martin;Fernando Alonso;Miami Grand Prix;Miami;USA;5,412;57;308;0;1;1;0;2130;2310;2000;1950;4310;14;;
Alfa Romeo;Valtteri Bottas;Abu Dhabi Grand Prix;Abu Dhabi;UAE;5,281;58;306;1;2;0;0;2130;2310;2000;1950;6750;17;;
Alfa Romeo;Valtteri Bottas;Dutch Grand Prix;Zandvoort;Netherlands;4,259;72;307;0;0;1;1;2130;2310;2000;1950;3950;12;;
Alfa Romeo;Valtteri Bottas;Miami Grand Prix;Miami;USA;5,412;57;308;1;0;1;0;2130;2310;2000;1950;4130;7;;
